referencia_busca_cliente;referencia;numero;servicos.nao_faturavel;recorrencia;id_importacao_pessoa;servicos.quantidade;servicos.valor_unitario;data_primeiro_vencimento;dia_vencimento;servicos.data_inicio_servico;data_vigencia_inicial;data_vigencia_final;servicos.data_reajuste;data_proximo_reajuste;servicos.referencia;tipo_faturamento;codigo_plano_contas;servicos.codigos_vendedores;codigo_vendedor;servicos.comissoes;servicos.codigo_politica_comissao;codigo_banco_conta;codigo_forma_pagamento;indice_reajuste
1;2127;;;1;8363;1;164,54;10/05/2025;10;01/05/2002;01/05/2002;;03/04/2026;03/04/2026;116;1;133;18;18;45,00;1;2;5;0
1;4687;;;1;5707;2;0,01;03/05/2025;3;01/02/2004;01/02/2004;;;;95;1;133;4;4;45,00;1;2;5;0
1;1134;159;;1;5458;12;34,18;03/05/2025;3;01/05/2016;01/05/2016;;02/07/2025;02/07/2025;4;0;;10;10;5,00;1;3;5;0
1;390;6436;;1;6436;2;102,83;05/05/2025;5;01/08/2017;01/08/2017;;02/07/2025;02/07/2025;4;1;133;29;29;45,00;1;2;5;0
1;2637;;;1;5747;8;65,02;30/05/2025;30;28/11/2017;28/11/2017;;04/06/2025;04/06/2025;4;1;133;4;4;45,00;1;2;5;0
1;2;15;;1;7030;1;759,90;10/05/2025;10;01/01/2018;01/01/2018;;02/07/2025;02/07/2025;4;1;133;32;32;0,00;1;2;5;0
1;1024;2009;;1;6434;1;294,82;05/05/2025;5;01/01/2018;01/01/2018;;02/07/2025;02/07/2025;4;1;133;29;29;45,00;1;2;5;0
1;143;325;;1;5615;2;126,99;05/05/2025;5;01/02/2019;01/02/2019;;01/08/2025;01/08/2025;4;1;133;10;10;0,00;1;2;5;0
1;1307;38;;1;5178;1;136,10;16/05/2025;16;01/05/2019;01/05/2019;;02/07/2025;02/07/2025;4;0;;15;15;0,00;1;3;5;0
1;1332;96;;1;5149;1;163,13;10/05/2025;10;25/05/2019;25/05/2019;;02/07/2025;02/07/2025;4;1;133;32;32;0,00;1;2;5;0
1;1753;1611;;1;7908;1;219,01;25/05/2025;25;30/05/2019;30/05/2019;;02/07/2025;02/07/2025;119;1;133;26;26;45,00;1;2;5;0
1;256;465;;1;6164;1;202,46;05/05/2025;5;01/06/2019;01/06/2019;;02/07/2025;02/07/2025;4;1;133;16;16;45,00;1;2;5;0
1;471;684;;1;5283;2;94,15;10/05/2025;10;01/06/2019;01/06/2019;;02/07/2025;02/07/2025;4;1;133;18;18;45,00;1;2;5;0
1;609;850;;1;5612;5;115,52;05/05/2025;5;01/06/2019;01/06/2019;;02/07/2025;02/07/2025;4;0;;20;20;0,00;1;3;5;0
1;636;898;;1;5573;7;116,29;05/05/2025;5;01/06/2019;01/06/2019;;02/07/2025;02/07/2025;4;0;;20;20;0,00;1;3;5;0
1;811;1080;;1;5011;1;260,73;10/05/2025;10;01/06/2019;01/06/2019;;02/07/2025;02/07/2025;4;1;133;2;2;0,00;1;2;5;0
1;863;1136;;1;5858;11;99,19;03/05/2025;3;01/06/2019;01/06/2019;;02/07/2025;02/07/2025;4;1;133;11;11;45,00;1;2;5;0
1;1114;65;;1;5409;1;323,57;15/05/2025;15;01/06/2019;01/06/2019;;02/07/2025;02/07/2025;4;1;133;35;35;0,00;1;2;5;0
1;1094;42;;1;5389;1;317,58;30/05/2025;30;25/06/2019;25/06/2019;;02/07/2025;02/07/2025;4;0;;35;35;0,00;1;3;5;0
1;222;429;;1;6827;7;71,66;28/05/2025;28;30/06/2019;30/06/2019;;02/07/2025;02/07/2025;4;1;133;33;33;0,00;1;2;5;0
1;1;11;;1;7000;1;465,38;20/05/2025;20;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;;32;32;0,00;1;2;5;0
1;8;189;;1;7184;3;41,47;02/05/2025;2;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;30;30;28,00;1;2;5;0
1;20;201;;1;7199;4;98,14;02/05/2025;2;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;30;30;28,00;1;2;5;0
1;50;231;;1;6334;1;320,59;02/05/2025;2;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;17;17;45,00;1;2;5;0
1;56;80;;1;6375;3;72,99;02/05/2025;2;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;17;17;45,00;1;2;5;0
1;97;279;;1;6156;1;474,96;03/05/2025;3;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;16;16;45,00;1;2;5;0
1;98;280;;1;5286;1;204,92;10/05/2025;10;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;119;1;133;18;18;45,00;1;2;5;0
1;140;322;;1;5064;1;329,71;30/05/2025;30;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;;2;2;0,00;1;2;5;0
1;171;353;;1;6157;8;68,78;15/05/2025;15;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;16;16;45,00;1;2;5;0
1;226;433;;1;5533;1;255,65;03/05/2025;3;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;0;;34;34;0,00;1;3;5;0
1;248;455;;1;7256;1;307,35;02/05/2025;2;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;30;30;28,00;1;2;5;0
1;334;544;;1;6889;1;641,47;05/05/2025;5;01/07/2019;01/07/2019;;01/08/2025;01/08/2025;4;0;;10;10;0,00;1;3;5;0
1;379;590;;1;6064;2;183,17;10/05/2025;10;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;0;;16;16;45,00;1;3;5;0
1;380;591;true;1;7503;1;275,41;10/05/2025;10;01/07/2019;01/07/2019;;07/07/2023;07/07/2023;4;1;133;26;26;45,00;1;2;5;0
1;476;689;;1;7398;20;88,03;15/05/2025;15;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;0;;22;22;28,00;1;3;5;0
1;544;760;;1;6362;2;187,56;20/05/2025;20;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;17;17;45,00;1;2;5;0
1;592;811;;1;7174;1;154,37;10/05/2025;10;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;21;21;45,00;1;2;5;0
1;608;849;;1;5493;4;239,71;05/05/2025;5;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;0;;20;20;0,00;1;3;5;0
1;623;884;;1;5607;1;404,92;03/05/2025;3;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;10;10;0,00;1;2;5;0
1;628;889;;1;7176;1;276,62;10/05/2025;10;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;21;21;45,00;1;2;5;0
1;634;896;;1;6680;5;60,14;15/05/2025;15;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;33;33;0,00;1;2;5;0
1;644;907;;1;5657;8;42,23;03/05/2025;3;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;33;33;0,00;1;2;5;0
1;654;917;;1;7164;1;262,90;10/05/2025;10;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;21;21;45,00;1;2;5;0
1;668;932;;1;6301;1;506,94;02/05/2025;2;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;17;17;45,00;1;2;5;0
1;669;933;;1;5509;1;289,69;03/05/2025;3;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;1;133;10;10;0,00;1;2;5;0
1;909;1331;;1;6702;10;60,06;03/05/2025;3;01/07/2019;01/07/2019;;02/07/2025;02/07/2025;4;0;;2;2;0,00;1;3;5;0
