referencia_busca_cliente;referencia;numero;recorrencia;id_importacao_pessoa;servicos.valor_unitario;servicos.nao_faturavel;data_primeiro_vencimento;dia_vencimento;data_vigencia_inicial;servicos.data_inicio_servico;data_vigencia_final;servicos.referencia;tipo_faturamento;codigo_banco_conta;codigo_forma_pagamento;codigo_plano_contas;servicos.codigos_vendedores;codigo_vendedor;servicos.comissoes;servicos.codigo_politica_comissao;indice_reajuste
1;5222;;1;12146;0,01;true;03/05/2025;3;15/08/2002;15/08/2002;;4;1;2;5;133;18;18;60;1;0
1;4661;;1;11648;0,01;true;02/05/2025;2;01/01/2024;01/01/2024;;95;1;2;5;133;20;20;0;1;0
1;2127;;1;8363;164,54;;10/05/2025;10;01/05/2002;01/05/2002;;116;1;2;5;133;18;18;45;1;0
1;4687;;1;5707;0,01;true;03/05/2025;3;01/02/2004;01/02/2004;;95;1;2;5;133;4;4;45;1;0
1;1134;159;1;5458;410,16;;03/05/2025;3;01/05/2016;01/05/2016;;4;0;3;5;;10;10;5;1;0
1;390;6436;1;6436;205,66;;05/05/2025;5;01/08/2017;01/08/2017;;4;1;2;5;133;29;29;45;1;0
1;2637;;1;5747;520,16;;30/05/2025;30;28/11/2017;28/11/2017;;4;1;2;5;133;4;4;45;1;0
1;1024;2009;1;6434;294,82;;05/05/2025;5;01/01/2018;01/01/2018;;4;1;2;5;133;29;29;45;1;0
1;2;15;1;7030;759,90;;10/05/2025;10;01/01/2018;01/01/2018;;4;1;2;5;133;32;32;0;1;0
1;143;325;1;5615;253,98;;05/05/2025;5;01/02/2019;01/02/2019;;4;1;2;5;133;10;10;0;1;0
1;1307;38;1;5178;136,10;;16/05/2025;16;01/05/2019;01/05/2019;;4;0;3;5;;15;15;0;1;0
1;1332;96;1;5149;163,13;;10/05/2025;10;25/05/2019;25/05/2019;;4;1;2;5;133;32;32;0;1;0
1;1753;1611;1;7908;219,01;;25/05/2025;25;30/05/2019;30/05/2019;;119;1;2;5;133;26;26;45;1;0
1;609;850;1;5612;577,60;;05/05/2025;5;01/06/2019;01/06/2019;;4;0;3;5;;20;20;0;1;0
1;636;898;1;5573;814,03;;05/05/2025;5;01/06/2019;01/06/2019;;4;0;3;5;;20;20;0;1;0
