referencia_busca_cliente;referencia;numero;recorrencia;;id_importacao_pessoa;Plano;servicos.referencia;servicos.quantidade;data_vigencia_inicial;data_vigencia_final;servicos.valor_unitario;dia_vencimento;data_primeiro_vencimento;Último Reajuste;data_proximo_reajuste;indice_reajuste;codigo_vendedor;codigo_forma_pagamento;codigo_banco_conta;tipo_faturamento
1;32;32;1;;31;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;16/03/2023;31/12/2031;728,08;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;99;99;1;;32;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;19/02/2021;31/12/2030;809,09;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;101;101;1;;33;Pabx Físico (JT Tecnologia) - Mensal;7;1;31/01/2022;31/12/2030;379,18;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;103;103;1;;35;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;15/06/2021;31/12/2030;412,69;24;24/05/2025;03/06/2024;03/06/2025;1;1;5;3;0
1;105;105;1;;36;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/04/2022;31/12/2030;601,49;24;24/05/2025;03/04/2025;03/04/2026;1;1;5;3;0
1;107;107;1;;37;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;22/03/2021;31/12/2030;808,48;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;109;109;1;;38;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;17/03/2021;31/12/2030;439,89;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;111;111;1;;39;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;17/03/2021;31/12/2030;1203,20;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;113;113;1;;41;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;16/05/2022;31/12/2030;859,26;24;24/05/2025;08/05/2025;08/05/2026;1;1;5;3;0
1;115;115;1;;42;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/11/2021;31/12/2030;629,15;24;24/05/2025;24/10/2024;24/10/2025;1;1;5;3;0
1;117;117;1;;43;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;17/03/2021;31/12/2030;439,89;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;119;119;1;;44;Pabx Físico (JT Tecnologia) - Mensal;7;1;06/04/2022;29/01/2024;1052,54;24;24/05/2025;;;1;1;5;3;0
1;121;121;1;;44;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/11/2022;29/01/2024;893,06;24;24/05/2025;;;1;1;5;3;0
1;123;123;1;;40;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;31/05/2023;31/12/2030;630,23;15;15/05/2025;08/05/2025;08/05/2026;1;1;5;3;0
1;125;125;1;;45;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;07/08/2023;31/12/2030;488,79;5;5/05/2025;23/09/2024;23/09/2025;1;1;5;3;0
1;127;127;1;;46;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;30/06/2023;31/12/2030;388,73;15;15/05/2025;03/06/2024;03/06/2025;1;1;5;3;0
1;129;129;1;;47;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;31/01/2022;31/01/2031;523,80;24;24/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;131;131;1;;48;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;11/01/2022;07/10/2024;285,72;24;24/05/2025;;;1;1;5;3;0
1;133;133;1;;49;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;03/11/2021;31/12/2030;696,99;24;24/05/2025;24/10/2024;24/10/2025;1;1;5;3;0
1;135;135;1;;50;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/11/2022;26/08/2024;488,08;24;24/05/2025;;;1;1;5;3;0
1;137;137;1;;51;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;07/01/2021;31/12/2030;637,83;15;15/05/2025;06/01/2025;06/01/2026;1;1;5;3;0
1;140;140;1;;52;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;04/11/2022;31/12/2030;454,73;24;24/05/2025;24/10/2024;24/10/2025;1;1;5;3;0
1;144;144;1;;53;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;11/01/2022;03/06/2024;285,72;24;24/05/2025;;;1;1;5;3;0
1;146;146;1;;54;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;10/08/2021;31/12/2030;447,14;24;24/05/2025;23/09/2024;23/09/2025;1;1;5;3;0
1;148;148;1;;55;Tronco Sip (JT Tecnologia) - Mensal;9;1;12/09/2019;18/01/2024;911,29;2;2/05/2025;;;1;1;5;3;0
1;150;150;1;;56;Discador Preditivo (JT Tecnologia) - Mensal;6;1;16/02/2023;26/01/2024;4859,95;26;26/05/2025;;;1;1;5;3;0
1;152;152;1;;56;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;05/09/2022;26/01/2024;214,34;26;26/05/2025;;;1;1;5;3;0
