referencia_busca_cliente;id_importacao_pessoa;referencia;numero;data_primeiro_vencimento;dia_vencimento;data_vigencia_inicial;data_vigencia_final;servicos.referencia;PLANO;recorrencia;servicos.valor_unitario;codigo_forma_pagamento;codigo_banco_conta;tipo_faturamento;codigo_vendedor
1;35247;37955;37955;11/03/2025;11;11/03/2025;;31;Enterprise;1;797;13;2;1;1
1;35246;37954;37954;11/03/2025;11;11/03/2025;10/03/2026;32;Enterprise Anual;12;8364;13;2;1;1
1;35245;37953;37953;11/03/2025;11;11/03/2025;;29;PRO;1;497;13;2;1;1
1;35244;37951;37951;11/03/2025;11;11/03/2025;16/03/2025;31;Enterprise;1;797;13;2;1;1
1;35243;37948;37948;11/03/2025;11;11/03/2025;;31;Enterprise;1;797;13;2;1;1
1;35242;37947;37947;11/03/2025;11;11/03/2025;11/03/2025;29;PRO;1;497;13;2;1;1
1;35242;37949;37949;11/03/2025;11;11/03/2025;11/03/2025;29;PRO;1;497;13;2;1;1
1;35242;37950;37950;11/03/2025;11;11/03/2025;11/03/2025;29;PRO;1;497;13;2;1;1
1;35242;37952;37952;11/03/2025;11;11/03/2025;;29;PRO;1;497;13;2;1;1
1;35241;37946;37946;11/03/2025;11;11/03/2025;;29;PRO;1;497;13;2;1;1
1;35240;37944;37944;11/03/2025;11;11/03/2025;11/03/2025;31;Enterprise;1;797;13;2;1;1
1;35239;37943;37943;10/03/2025;10;10/03/2025;16/03/2025;29;PRO;1;497;13;2;1;1
1;35238;37942;37942;10/03/2025;10;10/03/2025;16/03/2025;30;Pro Anual;12;4764;13;2;1;1
1;35237;37941;37941;10/03/2025;10;10/03/2025;09/03/2026;30;Pro Anual;12;4764;13;2;1;1
1;35236;37938;37938;10/03/2025;10;10/03/2025;09/03/2026;30;Pro Anual;12;4764;13;2;1;1
1;35235;37937;37937;10/03/2025;10;10/03/2025;;29;PRO;1;497;13;2;1;1
1;35234;37930;37930;10/03/2025;10;10/03/2025;10/03/2025;32;Enterprise Anual;12;8364;13;2;1;1
1;35234;37931;37931;10/03/2025;10;10/03/2025;10/03/2025;32;Enterprise Anual;12;8364;13;2;1;1
1;35233;37929;37929;10/03/2025;10;10/03/2025;;29;PRO;1;497;13;2;1;1
1;35232;37928;37928;10/03/2025;10;10/03/2025;;29;PRO;1;497;13;2;1;1
1;35231;37927;37927;10/03/2025;10;10/03/2025;;29;PRO;1;497;13;2;1;1
1;35230;37925;37925;10/03/2025;10;10/03/2025;09/03/2026;32;Enterprise Anual;12;8364;13;2;1;1
1;35229;37922;37922;10/03/2025;10;10/03/2025;;29;PRO;1;497;13;2;1;1
1;35228;37921;37921;10/03/2025;10;10/03/2025;;31;Enterprise;1;797;13;2;1;1
1;35227;37920;37920;10/03/2025;10;10/03/2025;13/03/2025;29;PRO;1;497;13;2;1;1
1;35226;37919;37919;10/03/2025;10;10/03/2025;09/03/2026;30;Pro Anual;12;4764;13;2;1;1
1;35225;37918;37918;10/03/2025;10;10/03/2025;;29;PRO;1;497;13;2;1;1
1;35224;37917;37917;10/03/2025;10;10/03/2025;;29;PRO;1;497;13;2;1;1
1;35223;37916;37916;10/03/2025;10;10/03/2025;;29;PRO;1;497;13;2;1;1
1;35222;37915;37915;10/03/2025;10;10/03/2025;10/03/2025;30;Pro Anual;12;4764;13;2;1;1
1;35222;37939;37939;11/03/2025;11;11/03/2025;;29;PRO;1;497;13;2;1;1
1;35221;37914;37914;10/03/2025;10;10/03/2025;;29;PRO;1;497;13;2;1;1
1;35220;37913;37913;10/03/2025;10;10/03/2025;;29;PRO;1;497;13;2;1;1
1;35219;37912;37912;08/03/2025;08;08/03/2025;;29;PRO;1;497;13;2;1;1
1;35218;37911;37911;08/03/2025;08;08/03/2025;11/03/2025;29;PRO;1;497;13;2;1;1
1;35217;37907;37907;08/03/2025;08;08/03/2025;;31;Enterprise;1;797;13;2;1;1
1;35216;37906;37906;08/03/2025;08;08/03/2025;11/03/2025;29;PRO;1;497;13;2;1;1
1;35215;37905;37905;07/03/2025;07;07/03/2025;;29;PRO;1;497;13;2;1;1
1;35214;37904;37904;07/03/2025;07;07/03/2025;;29;PRO;1;497;13;2;1;1
1;35213;37903;37903;07/03/2025;07;07/03/2025;;29;PRO;1;497;13;2;1;1
1;35212;37901;37901;07/03/2025;07;07/03/2025;;29;PRO;1;497;13;2;1;1
1;35211;37899;37899;07/03/2025;07;07/03/2025;;29;PRO;1;497;13;2;1;1
1;35210;37897;37897;07/03/2025;07;07/03/2025;06/03/2026;30;Pro Anual;12;4764;13;2;1;1
1;35209;37896;37896;07/03/2025;07;07/03/2025;;29;PRO;1;497;13;2;1;1
1;35208;37895;37895;07/03/2025;07;07/03/2025;;31;Enterprise;1;797;13;2;1;1
1;35207;37894;37894;06/03/2025;06;06/03/2025;;29;PRO;1;497;13;2;1;1
1;35206;37893;37893;06/03/2025;06;06/03/2025;;31;Enterprise;1;797;13;2;1;1
1;35205;37892;37892;06/03/2025;06;06/03/2025;05/03/2026;30;Pro Anual;12;4764;13;2;1;1
1;35204;37890;37890;06/03/2025;06;06/03/2025;;29;PRO;1;497;13;2;1;1
1;35203;37889;37889;06/03/2025;06;06/03/2025;;29;PRO;1;497;13;2;1;1
1;35202;37888;37888;06/03/2025;06;06/03/2025;;29;PRO;1;497;13;2;1;1
1;35201;37887;37887;06/03/2025;06;06/03/2025;;29;PRO;1;497;13;2;1;1
1;35200;37886;37886;06/03/2025;06;06/03/2025;06/03/2025;29;PRO;1;497;13;2;1;1
1;35199;37884;37884;06/03/2025;06;06/03/2025;;29;PRO;1;497;13;2;1;1
1;35198;37883;37883;06/03/2025;06;06/03/2025;09/03/2025;29;PRO;1;497;13;2;1;1
1;35197;37881;37881;05/03/2025;05;05/03/2025;;29;PRO;1;497;13;2;1;1
1;35196;37880;37880;05/03/2025;05;05/03/2025;;29;PRO;1;497;13;2;1;1
1;35195;37878;37878;05/03/2025;05;05/03/2025;04/04/2025;29;PRO;1;497;13;2;1;1
1;35194;37875;37875;05/03/2025;05;05/03/2025;05/03/2025;30;Pro Anual;12;4764;13;2;1;1
