referencia;numero;data_vigencia_inicial;data_vigencia_final;Cliente (Razão Social);cnpj_cpf_cliente;codigo_banco_conta;codigo_forma_pagamento;servicos.complemento;servicos.referencia;dia_vencimento;data_primeiro_vencimento;observacao_nao_fiscal;servicos.valor_unitario;servicos.quantidade;codigo_vendedor;situacao;recorrencia;tipo_faturamento;indice_reajuste
2020/00094;2020/00094;01/03/2007;31/12/2021;ABC ARTEFATOS DE BORRACHA COELHO LTDA;18.422.469/0001-84;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;ENVIADO EMAIL 22/06/2021 AGUARDANDO ADENDO ASSINADO. ajustar data do adendo valor já está sendo cobrado.  **alterei data de vigencia 01/03/2009 para 31/12/2021 - Omie não estava faturando - Mari  * ultima cobrança fiz proporcional aos dias prestados de 04/07 a 28/07  24 dias de serviço 446,60/30 = 14,88 * 20 dias = 297,73 -  FOI COBRADO INTEGRAL! NOTA 872;446,6;1;1;1;1;0;0
2020/00097;2020/00097;01/01/2013;14/10/2024;AÇOTUBO IND E COM;43.919.968/0001-29;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Adendo enviado em 22/06/2021.  valor já está sendo cobrado ajustar data quando o adendo chegar. vigencia 01/07/2015 alterei para 31/12/2021 alterado em 01/10 email Tamires reajustes do mês;1356,34;1;1;1;1;0;0
2024/00005;2024/00005;05/04/2024;09/10/2024;AÇOTUBO IND E COM;43.919.968/0001-29;2;5;Serviços prestados- plataforma BI cobrança mensal;1;10;10/10/2024;o ver pois tinha contrato de apenas 6 meses e nao retornou do reajuste no omie tinha apenas 3 meses;630;1;1;1;1;0;0
2020/00031;2020/00031;01/01/2013;31/12/2022;AÇOTUBO INDÚSTRIA E COMÉRCIO LTDA;43.919.968/0018-77;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;N/D;1084,59;1;1;1;1;0;0
2020/00084;2020/00084;07/07/2017;11/11/2023;AGRODANIELI INDUSTRIA E COMERCIO LTDA;02.990.334/0001-85;2;5;Contrato  de Manutenção Plano Básico (12meses);1;10;10/10/2024;Reajuste indice IGPM Anual ENVIADO EMAIL 22/06/2021 AGUARDANDO ADENDO ASSINADO e ajustar data, cliente já está pagando valor do reajuste RECEBIDO EM 20/07/2021;563,79;1;1;1;1;0;0
2020/00050;2020/00050;14/01/2016;14/09/2024;ALCAPLAS INDUSTRIA DE PLASTICOS LTDA;03.943.986/0001-21;2;5;Manutenção Kit Mensal Básico;1;10;10/10/2024;Reajuste anual indice IGPM REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARADA ADENDO;759,54;1;1;1;1;0;0
2020/00026;2020/00026;04/04/2016;27/09/2025;ALUMBRA PRODUTOS ELETRICOS E ELETRONICOS LTDA;59.114.777/0001-20;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Adendo enviado em 22/06/2021 , cliente já está pagando valor do reajuste, aguardar adendo e mudar a data, Reajuste anual indice IGPM **Alterei data de vigencia de 27/10/2019 a 31/12/20219 - Omie naõ faturava Mari REAJUSTE SEM ADENDO 01/09/2021 CONF. EMAIL - AGUARDA ADENDO;608,32;1;1;1;1;0;0
2021/00020;2021/00020;19/04/2021;19/04/2024;AMIL MONTAGEM INDUSTRIAL LTDA;05.679.417/0001-46;2;5;Serviços prestados - 01 usuário Saas;1;10;10/10/2024;Reajuste Anual indice IPCA alterado vigencia de 19/10/2021 para 19/04/2022 email Tamires 10/09, cliente tem vigencia de 24 meses;300,87;1;1;1;1;0;0
2020/00058;2020/00058;26/09/2022;26/09/2024;ANGELO AURICCHIO & CIA LTDA;62.598.586/0008-61;2;5;Contrato de Manutenção Plano Master;1;10;10/10/2024;Reajuste anual indice IGPM adendo em 27/02/2022 novo valor 647,36 - email Tamires em 06/01/2022. Mudar em 01/03/2022 nova cobrança;682,5;1;1;1;1;0;0
2020/00078;2020/00078;06/03/2020;05/03/2022;ANS IMPRESSOES GRAFICAS LTDA;05.677.050/0001-21;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;Vencimento sempre dia 10 do mês Reajuste anual indice IPCA Recebido distrato por correio em 03/09 - data distrato 07/2021, faturamos até 09/2021.;228,8;1;1;1;1;0;0
2020/00052;2020/00052;12/09/2019;13/10/2024;APERAM INOX AMERICA DO SUL S A;33.390.170/0018-27;2;5;Sistema SIGMA PDCA SAAS;1;10;10/10/2024;Reajuste anual indice IPCA - 10/2021 * email Tamires, tem novo contrato, alterei vigencia conforme ela passou para 23/03/2022;906;1;1;1;1;0;0
2020/00072;2020/00072;12/09/2019;13/10/2024;APERAM INOX TUBOS BRASIL LTDA;04.335.855/0001-24;2;5;SIGMA SaaS Padrão;1;10;10/10/2024;VENCIMENTO TERÇAS E QUINTAS, ENVIAR XML. Código do Fornecedor 329303  Reajuste anual indice IPCA *alterei vigencia de 14/10/21 para 23/03/22 Tamires enviou email em 10/09/2021. Cliente mandou email em 10/01/2022 solicitando cancelamento e novo valor reajustado da nota 012022, Tamires enviou email notificando que devo considerar a nota de 022022 reajustado.;906;1;1;1;1;0;0
2020/00033;2020/00033;27/07/2016;10/09/2025;ART LASER GRAFICA E EDITORA LTDA;67.111.245/0001-67;2;5;Serviço Mensal  de PCM Sigma;1;10;10/10/2024;alterado vigencia de 10/09/2020 para 10/09/2022 eamil Tamires 10/09, cliente tem vigencia de 24 meses;865,68;1;1;1;1;0;0
2021/00012;2021/00012;22/03/2023;17/03/2025;ASSOCIACAO DOS TERMINAIS DO CORREDOR DE EXP DE PARANAGUA;24.294.171/0001-39;2;5;Processamento e armazenamento de dados - 02 usuários Pgto ANUAL conforme contrato;1;10;10/10/2024;Pagamento anual - nf 207 e 438 Sem contrato de manutenção. Somente usuários - 02  Reajuste anual índice IPCA REAJUSTADO 18/03/2022 renovar para 4 usuarios em 2025 e rever valor;5695,11;1;1;1;1;0;0
2024/00001;2024/00001;10/01/2024;10/01/2030;ASSOCIACAO DOS TERMINAIS DO CORREDOR DE EXP DE PARANAGUA;24.294.171/0001-39;3;5;ativação de segurança;1;10;10/10/2024;N/D;2304;1;1;1;1;0;0
2020/00034;2020/00034;16/08/2018;31/05/2021;ATLAS INDÚSTRIA DE ELETRODOMÉSTICOS LTDA;78.242.849/0001-69;2;5;Licenciamento SaaS SIGMA PDCA;1;10;10/10/2024;Pagamento sempre dia 05 do mês, porém efetuam pagamento apenas nas terças-feiras, colocar vencimento na próxima terça, após dia 05;1191,61;1;1;1;1;0;0
