referencia;numero;cnpj_cpf_cliente;descricao;servicos.referencia;servicos.quantidade;servicos.complemento;data_vigencia_inicial;data_vigencia_final;observacao_nao_fiscal;servicos.valor_unitario;dia_vencimento;data_primeiro_vencimento;data_proximo_reajuste;codigo_vendedor;situacao;recorrencia;tipo_faturamento;indice_reajuste;codigo_banco_conta;codigo_forma_pagamento;codigo_plano_contas;codigo_condicao_pagamento;observacao_fiscal
1106;1106;08.234.944/0001-35;ASP Food - Raffinato (ASP Softwares Lages) - Mensal;1;1;;15/06/2024;01/10/2024;Fidelidade 15/07/2025;1672,42;30;30/07/2024;;1;2;1;1;0;8;5;89;;
1669;1669;50.253.505/0001-36;ASP Varejo - ConnectPlug 2024 (ASP Softwares Lages) - Mensal;5;1;;07/08/2024;14/10/2024;Fidelidade 06/08/2025;360;5;05/09/2024;;1;2;1;1;0;8;5;89;;
1569;1569;46.945.851/0001-08;Sistemas ASP (ASP Softwares Lages) - Mensal;13;1;;01/06/2024;;Fidelidade 30/06/2025;400;20;20/02/2025;01/06/2025;1;1;1;1;0;8;5;89;;
1620;1620;05.663.983/0002-40;Sistemas ASP (ASP Softwares Lages) - Mensal;13;1;;01/06/2024;;Fidelidade 31/05/2025;59,9;15;15/02/2025;01/06/2025;1;1;1;1;0;8;5;89;;
1629;1629;05.929.726/0001-27;ASP Varejo - VHSys (ASP Softwares Lages) - Mensal;9;1;;01/06/2024;;Fidelidade 31/05/2025;240,56;5;05/02/2025;01/06/2025;1;1;1;1;0;8;5;89;;
1751;1751;55.788.464/0001-04;ASP Varejo - VHSys 2024 (ASP Softwares Lages) - Mensal;10;1;;10/10/2024;18/10/2024;Fidelidade 09/10/2025;259,9;15;15/11/2024;;1;2;1;1;0;8;5;89;;
1467;1467;48.090.705/0001-73;ASP Varejo - VHSys (ASP Softwares Lages) - Mensal;9;1;;01/07/2024;;Fidelidade 09/07/2025;245,64;10;10/02/2025;01/07/2025;1;1;1;1;0;8;5;89;;
1475;1475;11.278.313/0001-22;Sistemas ASP (ASP Softwares Lages) - Mensal;13;1;;01/07/2024;;Fidelidade 30/06/2025;148,08;10;10/02/2025;01/07/2025;1;1;1;1;0;8;5;89;;
1479;1479;28.359.962/0001-50;Sistemas ASP (ASP Softwares Lages) - Mensal;13;1;;01/07/2024;;Fidelidade 30/06/2025;459,38;5;05/02/2025;01/07/2025;1;1;1;1;0;8;5;89;;
1481;1481;22.200.077/0001-48;Sistemas ASP (ASP Softwares Lages) - Mensal;13;1;;01/07/2024;;Fidelidade 30/06/2025;459,38;5;05/02/2025;01/07/2025;1;1;1;1;0;8;5;89;;
1483;1483;22.093.357/0001-02;Sistemas ASP (ASP Softwares Lages) - Mensal;13;1;;01/07/2024;;Fidelidade 30/06/2025;214,12;15;15/02/2025;01/07/2025;1;1;1;1;0;8;5;89;;
