referencia;numero;cnpj_cpf_cliente;descricao;servicos.referencia;servicos.quantidade;servicos.complemento;data_vigencia_inicial;data_vigencia_final;observacao_nao_fiscal;servicos.valor_unitario;dia_vencimento;data_primeiro_vencimento;data_proximo_reajuste;codigo_vendedor;situacao;recorrencia;tipo_faturamento;indice_reajuste;codigo_banco_conta;codigo_forma_pagamento;codigo_plano_contas;codigo_condicao_pagamento;observacao_fiscal
1103;1103;44.226.020/0001-50;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;09/07/2024;05/08/2024;Fidelidade 08/07/2025;290,00;15;15/02/2025;;1;2;1;1;0;14;5;89;;
1424;1424;44.193.857/0001-40;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/06/2024;08/08/2024;Fidelidade 13/06/2025;236,83;28;28/02/2025;;1;2;1;1;0;14;5;89;;
1295;1295;00.549.555/0001-97;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/08/2023;;Fidelidade 31/07/2024;427,69;10;10/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1624;1624;46.227.280/0001-76;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;30/07/2024;14/08/2024;Fidelidade 29/07/2025;277,45;15;15/02/2025;;1;2;1;1;0;14;5;89;;
1313;1313;95.785.275/0001-94;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/08/2023;;Fidelidade 31/07/2024;161,16;7;7/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1325;1325;05.674.607/0001-70;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/08/2023;;Fidelidade 31/07/2024;143,97;5;5/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1367;1367;28.606.277/0001-81;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/08/2023;;Fidelidade 27/08/2024;227,01;10;10/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1392;1392;11.788.002/0001-03;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/08/2023;;Fidelidade 31/07/2024;212,83;25;25/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1389;1389;31.290.051/0001-29;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/05/2024;26/08/2024;Fidelidade 30/04/2025;194,70;10;10/02/2025;;1;2;1;1;0;14;5;89;;
1432;1432;42.842.793/0001-36;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/08/2023;;Fidelidade 27/08/2024;268,17;15;15/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1294;1294;81.555.518/0001-93;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;226,06;10;10/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1300;1300;13.480.908/0001-91;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/09/2023;;Fidelidade 31/08/2024;131,46;15;15/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1326;1326;15.695.616/0001-00;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;234,78;5;5/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1345;1345;07.401.928/0001-27;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;241,30;8;8/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1347;1347;08.513.155/0001-33;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;250,78;1;1/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1350;1350;07.272.690/0004-20;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;396,11;15;15/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1359;1359;13.996.051/0005-90;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;231,49;10;10/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1375;1375;12.318.407/0001-40;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;238,11;5;5/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1376;1376;17.369.233/0002-40;ASP Hiper Mini 2024 (ASP Softwares Brusque) - Mensal;2;1;;01/09/2023;;Fidelidade 31/08/2024;163,54;25;25/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1402;1402;37.630.393/0002-08;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/07/2023;26/08/2024;Fidelidade 30/06/2024;170,39;28;28/02/2025;14/08/2024;1;2;1;1;0;14;5;89;;
1386;1386;17.581.542/0001-06;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;239,37;15;15/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1391;1391;15.842.249/0001-11;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;179,48;15;15/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1394;1394;38.151.419/0001-17;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;223,37;20;20/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1404;1404;09.578.271/0001-01;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;209,93;5;5/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1407;1407;07.292.542/0001-24;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;209,93;16;16/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1418;1418;07.272.690/0010-78;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;429,51;15;15/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1458;1458;07.272.690/0011-59;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/09/2023;;Fidelidade 31/08/2024;294,03;15;15/02/2025;14/08/2025;1;1;1;1;0;14;5;89;;
1291;1291;24.388.242/0001-62;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 30/09/2024;513,62;5;5/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1296;1296;09.385.418/0001-39;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 30/09/2024;136,74;27;27/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
1307;1307;09.470.454/0001-09;ASP Varejo - Hiper (ASP Softwares Brusque) - Mensal;6;1;;01/10/2023;;Fidelidade 02/10/2024;221,49;14;14/02/2025;24/10/2025;1;1;1;1;0;14;5;89;;
