referencia;recorrencia;situacao;codigo_vendedor;tipo_faturamento;indice_reajuste;codigo_banco_conta;codigo_forma_pagamento;Cliente;CPF/CNPJ do cliente;servicos.referencia;Nome do produto/serviço;observacao_fiscal;data_primeiro_vencimento;data_vigencia_inicial;data_vigencia_final;servicos.valor_unitario;;;;;;;;;;
48;1;1;1;0;0;2;5;CAMARA DE VEREADORES DE CUNHATAI;03581082000101;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;835,90;;;;;;;;;;
53;1;1;1;0;0;2;5;CÂMARA DE VEREADORES DE ROMELÂNDIA;04828184000133;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;01/12/2024;830,94;;;;;;;;;;
55;1;1;1;0;0;2;5;CAMARA DE VEREADORES DE SÃO JOSE DO CERRITO;75323899000182;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;784,58;;;;;;;;;;
61;1;1;1;0;0;2;5;CÂMARA DE VEREADORES DO MUNICÍPIO DE SÃO MIGUEL DO OESTE;78484573000125;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;786,07;;;;;;;;;;
66;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE CAIBI;04182896000128;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;831,59;;;;;;;;;;
68;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE DOUTOR PEDRINHO;09074166000127;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;839,97;;;;;;;;;;
70;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE GUATAMBU;01646168000131;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;29/02/2024;31/12/2024;835,42;;;;;;;;;;
72;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE JABORÁ;07733746000153;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;798,53;;;;;;;;;;
83;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE ABDON BATISTA;05632918000177;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;01/02/2024;30/12/2024;1016,83;;;;;;;;;;
87;1;1;1;0;0;2;5;CÂMARA MUNICIPAL DE VEREADORES DE DESCANSO;83517946000157;19;MENSALIDADE DE LOCAÇÃO DE PLATAFORMA COMPLETA DE TRANSMISSÃO AO VIVO TV DO LEGISLATIVO;;10/10/2024;20/01/2024;09/12/2024;750,00;;;;;;;;;;
