referencia;recorrencia;situacao;codigo_vendedor;tipo_faturamento;indice_reajuste;codigo_banco_conta;codigo_forma_pagamento;servicos.referencia;observacao_fiscal;dia_vencimento;data_primeiro_vencimento;data_vigencia_inicial;data_vigencia_final;servicos.valor_unitario;;;;;;;;;;
1;1;1;1;0;0;2;5;9;;1;10/10/2024;01/05/2024;;119,90;;;;;;;;;;
2;1;1;1;0;0;2;5;3;PLANO DE 10 CANAIS;1;10/10/2024;01/07/2024;;169,90;;;;;;;;;;
3;1;1;1;0;0;2;5;3;plano 01: 8 canais plano 02: 30 canais;1;10/10/2024;01/01/2024;;750,00;;;;;;;;;;
4;1;1;1;0;0;2;5;3;7 canais;1;10/10/2024;01/01/2024;;109,90;;;;;;;;;;
5;1;1;1;0;0;2;5;29;;1;10/10/2024;01/03/2024;;79,90;;;;;;;;;;
6;1;1;1;0;0;2;5;3;10 CANAIS;1;10/10/2024;01/01/2024;;119,90;;;;;;;;;;
7;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;;119,90;;;;;;;;;;
8;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;;99,90;;;;;;;;;;
9;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
10;1;1;1;0;0;2;5;8;;1;10/10/2024;01/06/2024;;99,90;;;;;;;;;;
11;1;1;1;0;0;2;5;29;;1;10/10/2024;01/06/2024;;79,90;;;;;;;;;;
12;1;1;1;0;0;2;5;9;;1;10/10/2024;01/07/2024;;119,90;;;;;;;;;;
13;1;1;1;0;0;2;5;3;Mensalidade de locação do sistema Vigi – Plano 7 canais + 5 canais;1;10/10/2024;01/01/2024;;199,80;;;;;;;;;;
14;1;1;1;0;0;2;5;29;;1;10/10/2024;01/07/2024;;79,90;;;;;;;;;;
15;1;1;1;0;0;2;5;29;;1;10/10/2024;01/07/2024;;79,90;;;;;;;;;;
16;1;1;1;0;0;2;5;3;12 canais;1;10/10/2024;01/08/2024;;199,90;;;;;;;;;;
17;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;;99,90;;;;;;;;;;
18;1;1;1;0;0;2;5;8;;1;10/10/2024;01/06/2024;;99,90;;;;;;;;;;
19;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;;99,90;;;;;;;;;;
20;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;;99,90;;;;;;;;;;
21;1;1;1;0;0;2;5;8;;1;10/10/2024;01/06/2024;;99,90;;;;;;;;;;
22;1;1;1;0;0;2;5;29;+ microfone;1;10/10/2024;01/06/2024;;89,90;;;;;;;;;;
23;1;1;1;0;0;2;5;4;PLANO LISOT  + primeiro plano;1;10/10/2024;01/01/2024;;409,70;;;;;;;;;;
24;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;;119,90;;;;;;;;;;
25;1;1;1;0;0;2;5;5;;1;10/10/2024;01/05/2024;;64,90;;;;;;;;;;
26;1;1;1;0;0;2;5;8;;1;10/10/2024;01/05/2024;;99,90;;;;;;;;;;
27;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
28;1;1;1;0;0;2;5;3;plano de 8 canais;1;10/10/2024;01/07/2024;;119,90;;;;;;;;;;
29;1;1;1;0;0;2;5;3;plano de 8 canais + microfone;1;10/10/2024;01/06/2024;;119,90;;;;;;;;;;
30;1;1;1;0;0;2;5;8;;1;10/10/2024;01/08/2024;;99,90;;;;;;;;;;
31;1;1;1;0;0;2;5;3;Plano 16 canais + 2 canais elevador;1;10/10/2024;01/08/2024;;329,90;;;;;;;;;;
32;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;;119,90;;;;;;;;;;
33;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
34;1;1;1;0;0;2;5;9;;1;10/10/2024;01/04/2024;;119,90;;;;;;;;;;
35;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
36;1;1;1;0;0;2;5;29;DEPÓSITO;1;10/10/2024;01/01/2024;;60,00;;;;;;;;;;
37;1;1;1;0;0;2;5;8;;1;10/10/2024;01/04/2024;;129,80;;;;;;;;;;
38;1;1;1;0;0;2;5;8;INCLUSO ALARME;1;10/10/2024;01/04/2024;;179,80;;;;;;;;;;
39;1;1;1;0;0;2;5;9;+ ALARME;1;10/10/2024;01/01/2024;;179,80;;;;;;;;;;
40;1;1;1;0;0;2;5;3;(AAFUC entrada, balança)Plano 9 canais;1;10/10/2024;01/01/2024;;150,00;;;;;;;;;;
41;1;1;1;0;0;2;5;3;PLANO ALMOXARIFADO;1;10/10/2024;01/06/2024;;109,90;;;;;;;;;;
42;1;1;1;0;0;2;5;4;(Centro adm);1;10/10/2024;01/01/2024;;240,00;;;;;;;;;;
43;1;1;1;0;0;2;5;29;plano de Campo Êre;1;10/10/2024;01/08/2024;;79,90;;;;;;;;;;
44;1;1;1;0;0;2;5;8;BALANÇA;1;10/10/2024;01/01/2024;;90,00;;;;;;;;;;
45;1;1;1;0;0;2;5;9;(smo saida p. sede);1;10/10/2024;01/01/2024;;120,00;;;;;;;;;;
46;1;1;1;0;0;2;5;9;plano 8;1;10/10/2024;01/07/2024;;119,90;;;;;;;;;;
47;1;1;1;0;0;2;5;3;Plano 10 canais (dois irmãos) + ALARME;1;10/10/2024;01/01/2024;;219,80;;;;;;;;;;
48;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;;99,90;;;;;;;;;;
49;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
50;1;1;1;0;0;2;5;29;;1;10/10/2024;01/07/2024;;79,90;;;;;;;;;;
51;1;1;1;0;0;2;5;8;;1;10/10/2024;01/06/2024;;99,90;;;;;;;;;;
52;1;1;1;0;0;2;5;3;11 canais;1;10/10/2024;01/01/2024;;219,90;;;;;;;;;;
53;1;1;1;0;0;2;5;3;PLANO DE 4 CÂMERAS + 4 SENSORES;1;10/10/2024;01/07/2024;;129,80;;;;;;;;;;
54;1;1;1;0;0;2;5;8;;1;10/10/2024;01/03/2024;;99,90;;;;;;;;;;
55;1;1;1;0;0;2;5;3;30 canais;1;10/10/2024;01/01/2024;;532,00;;;;;;;;;;
56;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
57;1;1;1;0;0;2;5;5;+ microfone;1;10/10/2024;01/07/2024;;74,90;;;;;;;;;;
58;1;1;1;0;0;2;5;29;;1;10/10/2024;01/04/2024;;79,90;;;;;;;;;;
59;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
60;1;1;1;0;0;2;5;3;Fabrica - 42 câmeras Engenharia - 9 câmeras Escritório - 10 câmeras Fabrica Fibras - 17 câmeras;1;10/10/2024;01/01/2024;;1.599,75;;;;;;;;;;
61;1;1;1;0;0;2;5;3;PLANO 01: 6 CANAIS PLANO 2: 4 CANAIS;1;10/10/2024;01/01/2024;;99,90;;;;;;;;;;
62;1;1;1;0;0;2;5;9;;1;10/10/2024;01/03/2024;;119,90;;;;;;;;;;
63;1;1;1;0;0;2;5;3;Plano 4 CÂMERAS + 4 SENSORES;1;10/10/2024;01/08/2024;;129,80;;;;;;;;;;
64;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
65;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;;119,90;;;;;;;;;;
66;1;1;1;0;0;2;5;3;Plano 2 canais + 4 sensores;1;10/10/2024;01/08/2024;;99,90;;;;;;;;;;
67;1;1;1;0;0;2;5;3;Plano 4 canais colorvu + ALARME;1;10/10/2024;01/08/2024;;179,90;;;;;;;;;;
68;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
69;1;1;1;0;0;2;5;3;127 cameras HIKVISION + 1 SPEED DOME + 1 SONOFF;1;10/10/2024;01/06/2024;;2.214,00;;;;;;;;;;
70;1;1;1;0;0;2;5;5;;1;10/10/2024;01/07/2024;;64,90;;;;;;;;;;
71;1;1;1;0;0;2;5;3;PLANO DE 4 CANAIS + PLANO DE 2 CANAIS;1;10/10/2024;01/06/2024;;144,80;;;;;;;;;;
72;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;;219,90;;;;;;;;;;
73;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
74;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;;99,90;;;;;;;;;;
75;1;1;1;0;0;2;5;9;+ ALARME;1;10/10/2024;01/04/2024;;169,80;;;;;;;;;;
76;1;1;1;0;0;2;5;8;;1;10/10/2024;01/05/2024;;99,90;;;;;;;;;;
77;1;1;1;0;0;2;5;8;+ alarme;1;10/10/2024;01/01/2024;;139,80;;;;;;;;;;
78;1;1;1;0;0;2;5;29;;1;10/10/2024;01/06/2024;;79,90;;;;;;;;;;
79;1;1;1;0;0;2;5;29;CASA;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
80;1;1;1;0;0;2;5;29;LOJA;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
81;1;1;1;0;0;2;5;5;;1;10/10/2024;01/04/2024;;64,90;;;;;;;;;;
82;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;;119,90;;;;;;;;;;
83;1;1;1;0;0;2;5;3;21 câmeras coloridas 3 normais 2 DVRs intelbras;1;10/10/2024;01/01/2024;;426,00;;;;;;;;;;
84;1;1;1;0;0;2;5;3;PLANO 7 CANAIS;1;10/10/2024;01/01/2024;;124,25;;;;;;;;;;
85;1;1;1;0;0;2;5;3;7 canais;1;10/10/2024;01/01/2024;;124,25;;;;;;;;;;
86;1;1;1;0;0;2;5;3;plano de 2 canais R$64,90 + uma speed dome R$130,00;1;10/10/2024;01/05/2024;;194,90;;;;;;;;;;
87;1;1;1;0;0;2;5;3;10 CANAIS;1;10/10/2024;01/03/2024;;220,00;;;;;;;;;;
88;1;1;1;0;0;2;5;3;3 planos de 4 câmeras e um plano de 8;1;10/10/2024;01/05/2024;;359,60;;;;;;;;;;
89;1;1;1;0;0;2;5;9;;1;10/10/2024;01/08/2024;;119,90;;;;;;;;;;
90;1;1;1;0;0;2;5;3;27;1;10/10/2024;01/03/2024;;622,50;;;;;;;;;;
91;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;;119,90;;;;;;;;;;
92;1;1;1;0;0;2;5;29;;1;10/10/2024;01/08/2024;;69,90;;;;;;;;;;
93;1;1;1;0;0;2;5;8;;1;10/10/2024;01/08/2024;;99,90;;;;;;;;;;
94;1;1;1;0;0;2;5;29;;1;10/10/2024;01/03/2024;;64,90;;;;;;;;;;
95;1;1;1;0;0;2;5;29;;1;10/10/2024;01/07/2024;;79,90;;;;;;;;;;
96;1;1;1;0;0;2;5;3;62 canais + 5;1;10/10/2024;01/01/2024;;971,58;;;;;;;;;;
97;1;1;1;0;0;2;5;29;;1;10/10/2024;01/06/2024;;79,90;;;;;;;;;;
98;1;1;1;0;0;2;5;5;;1;10/10/2024;01/08/2024;;64,90;;;;;;;;;;
99;1;1;1;0;0;2;5;3;ref. ao plano de 16 canais ( empresa);1;10/10/2024;01/01/2024;;282,56;;;;;;;;;;
100;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
101;1;1;1;0;0;2;5;3;plano 01: 4 canais plano 02: 7 canais;1;10/10/2024;01/01/2024;;169,80;;;;;;;;;;
102;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;;99,90;;;;;;;;;;
103;1;1;1;0;0;2;5;3;plano de 12 canais 199,;1;10/10/2024;01/01/2024;;199,90;;;;;;;;;;
104;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;169,80;;;;;;;;;;
105;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
106;1;1;1;0;0;2;5;29;+ microfone;1;10/10/2024;01/04/2024;;89,90;;;;;;;;;;
107;1;1;1;0;0;2;5;3;plano 8 canais;1;10/10/2024;01/07/2024;;119,90;;;;;;;;;;
108;1;1;1;0;0;2;5;29;Plano 4 canais + Nobreak;1;10/10/2024;01/07/2024;;99,90;;;;;;;;;;
109;1;1;1;0;0;2;5;3;10 + plano de alarme R$64,90;1;10/10/2024;01/04/2024;;234,80;;;;;;;;;;
110;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
111;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;149,80;;;;;;;;;;
112;1;1;1;0;0;2;5;3;4 canais + microfone;1;10/10/2024;01/05/2024;;89,90;;;;;;;;;;
113;1;1;1;0;0;2;5;9;;1;10/10/2024;01/07/2024;;119,90;;;;;;;;;;
114;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
115;1;1;1;0;0;2;5;8;;1;10/10/2024;01/07/2024;;99,90;;;;;;;;;;
116;1;1;1;0;0;2;5;8;;1;10/10/2024;01/04/2024;;99,90;;;;;;;;;;
117;1;1;1;0;0;2;5;8;;1;10/10/2024;01/06/2024;;99,90;;;;;;;;;;
118;1;1;1;0;0;2;5;8;;1;10/10/2024;01/01/2024;;99,90;;;;;;;;;;
119;1;1;1;0;0;2;5;5;;1;10/10/2024;01/08/2024;;64,90;;;;;;;;;;
120;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
121;1;1;1;0;0;2;5;29;;1;10/10/2024;01/04/2024;;89,90;;;;;;;;;;
122;1;1;1;0;0;2;5;29;ALARME;1;10/10/2024;01/01/2024;;99,90;;;;;;;;;;
123;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
124;1;1;1;0;0;2;5;8;;1;10/10/2024;01/02/2024;;99,90;;;;;;;;;;
125;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;69,90;;;;;;;;;;
126;1;1;1;0;0;2;5;9;;1;10/10/2024;01/01/2024;;239,80;;;;;;;;;;
127;1;1;1;0;0;2;5;29;;1;10/10/2024;01/07/2024;;79,90;;;;;;;;;;
128;1;1;1;0;0;2;5;3;PLANO DE 10 CANAIS;1;10/10/2024;01/05/2024;;169,90;;;;;;;;;;
129;1;1;1;0;0;2;5;3;16 canais;1;10/10/2024;01/01/2024;;254,90;;;;;;;;;;
130;1;1;1;0;0;2;5;5;;1;10/10/2024;01/01/2024;;64,90;;;;;;;;;;
131;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;79,90;;;;;;;;;;
132;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;;209,70;;;;;;;;;;
133;1;1;1;0;0;2;5;5;;1;10/10/2024;01/05/2024;;64,90;;;;;;;;;;
134;1;1;1;0;0;2;5;3;PLANO DE 4 CÂMERAS + 4 SENSORES;1;10/10/2024;01/07/2024;;129,80;;;;;;;;;;
135;1;1;1;0;0;2;5;29;;1;10/10/2024;01/07/2024;;79,90;;;;;;;;;;
136;1;1;1;0;0;2;5;3;4 canais + alarme + microfone;1;10/10/2024;01/07/2024;;152,30;;;;;;;;;;
137;1;1;1;0;0;2;5;9;;1;10/10/2024;01/06/2024;;119,90;;;;;;;;;;
138;1;1;1;0;0;2;5;3;Plano 4 CÂMERAS + 4 SENSORES DE ALARMES;1;10/10/2024;01/07/2024;;129,80;;;;;;;;;;
139;1;1;1;0;0;2;5;29;;1;10/10/2024;01/06/2024;;79,90;;;;;;;;;;
140;1;1;1;0;0;2;5;29;DEPOSITO;20;10/10/2024;20/02/2024;24/12/2024;69,90;;;;;;;;;;
141;1;1;1;0;0;2;5;5;;1;10/10/2024;01/01/2024;08/12/2024;64,90;;;;;;;;;;
142;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;08/12/2024;79,90;;;;;;;;;;
143;1;1;1;0;0;2;5;5;;1;10/10/2024;01/01/2024;05/12/2024;64,90;;;;;;;;;;
144;1;1;1;0;0;2;5;3;;1;10/10/2024;01/01/2024;08/12/2024;139,80;;;;;;;;;;
145;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/12/2024;69,90;;;;;;;;;;
146;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/12/2024;69,90;;;;;;;;;;
147;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;05/12/2024;69,90;;;;;;;;;;
148;1;1;1;0;0;2;5;29;;1;10/10/2024;01/04/2024;02/03/2025;99,90;;;;;;;;;;
149;1;1;1;0;0;2;5;29;;1;10/10/2024;01/01/2024;01/12/2024;69,90;;;;;;;;;;
